Structure,SegmentedPropertyCategoryCodeSequence.CodingSchemeDesignator,SegmentedPropertyCategoryCodeSequence.CodeValue,SegmentedPropertyCategoryCodeSequence.CodeMeaning,SegmentedPropertyTypeCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeCodeSequence.CodeValue,SegmentedPropertyTypeCodeSequence.CodeMeaning,SegmentedPropertyTypeModifierCodeSequence.CodingSchemeDesignator,SegmentedPropertyTypeModifierCodeSequence.CodeValue,SegmentedPropertyTypeModifierCodeSequence.CodeMeaning,AnatomicRegionSequence.CodingSchemeDesignator,AnatomicRegionSequence.CodeValue,AnatomicRegionSequence.CodeMeaning,AnatomicRegionModifierSequence.CodingSchemeDesignator,AnatomicRegionModifierSequence.CodeValue,AnatomicRegionModifierSequence.CodeMeaning,DicomRGBColor
common_carotid_artery_left,SCT,123037004,Anatomical Structure,SCT,32062004,Common carotid artery,SCT,7771000,Left,,,,,,,"230,23,23"
brachiocephalic_vein_left,SCT,123037004,Anatomical Structure,SCT,8887007,Brachiocephalic vein,SCT,7771000,Left,,,,,,,"0,92,241"
brachiocephalic_vein_right,SCT,123037004,Anatomical Structure,SCT,8887007,Brachiocephalic vein,SCT,24028007,Right,,,,,,,"0,68,178"
atrial_appendage_left,SCT,123037004,Anatomical Structure,SCT,68786006,Auricular appendage,SCT,7771000,Left,,,,,,,"68,248,62"
superior_vena_cava,SCT,123037004,Anatomical Structure,SCT,48345005,Superior vena cava,,,,,,,,,,"74,144,18"
kidney_cyst_left,SCT,49755003,Morphologically Altered Structure,SCT,367643001,Cyst,,,,SCT,64033007,Kidney,SCT,7771000,Left,"83,175,221"
kidney_cyst_right,SCT,49755003,Morphologically Altered Structure,SCT,367643001,Cyst,,,,SCT,64033007,Kidney,SCT,24028007,Right,"71,139,173"
prostate,SCT,123037004,Anatomical Structure,SCT,41216001,Prostate,,,,,,,,,,"91,253,156"
femur,SCT,123037004,Anatomical Structure,SCT,71341001,Femur,,,,,,,,,,"216,54,56"
patella,SCT,123037004,Anatomical Structure,SCT,64234005,Patella,,,,,,,,,,"229,253,91"
tibia,SCT,123037004,Anatomical Structure,SCT,12611008,Tibia,,,,,,,,,,"216,54,146"
fibula,SCT,123037004,Anatomical Structure,SCT,87342007,Fibula,,,,,,,,,,"54,216,67"
tarsal,SCT,123037004,Anatomical Structure,SCT,108371006,Tarsal bones,,,,,,,,,,"195,216,54"
metatarsal,SCT,123037004,Anatomical Structure,SCT,53884002,Metatarsal,,,,,,,,,,"216,151,54"
phalanges_feet,SCT,123037004,Anatomical Structure,SCT,28641004,Phalanx structure,,,,,,,,,,"54,200,216"
humerus,SCT,123037004,Anatomical Structure,SCT,85050009,Humerus,,,,,,,,,,"216,111,54"
ulna,SCT,123037004,Anatomical Structure,SCT,23416004,Ulna,,,,,,,,,,"178,54,216"
radius,SCT,123037004,Anatomical Structure,SCT,62413002,Radius,,,,,,,,,,"162,216,54"
carpal,SCT,123037004,Anatomical Structure,SCT,83936004,Carpus,,,,,,,,,,"216,54,205"
metacarpal,SCT,123037004,Anatomical Structure,SCT,36455000,Metacarpal bones,,,,,,,,,,"216,54,216"
phalanges_hand,SCT,123037004,Anatomical Structure,SCT,28641004,Phalanx structure,,,,,,,,,,"83,54,216"
sternum,SCT,123037004,Anatomical Structure,SCT,56873002,Sternum,,,,,,,,,,"215,195,165"
skull,SCT,123037004,Anatomical Structure,SCT,89546000,Skull,,,,,,,,,,"245,225,200"
subcutaneous_fat,SCT,85756007,Tissue,SCT,67769002,Subcutaneous fatty tissue,,,,,,,,,,"255,242,178"
